고유번호,법정동코드,공시지가,원천시도시군구코드
4413111300101700000,4413111300,28100,44130
4413111300101750000,4413111300,490500,44130
4413111300102030000,4413111300,710600,44130
4413111300102040000,4413111300,695700,44130
4413111300102040000,4413111300,751800,44130
4413111300102070000,4413111300,767400,44130
4413111300102080000,4413111300,700900,44130
4413111300102110000,4413111300,1571000,44130
4413111300102150000,4413111300,758100,44130
4413111300102170000,4413111300,985700,44130
4413111300102210000,4413111300,831000,44130
4413111300102210000,4413111300,872900,44130
4413111300102230000,4413111300,1431000,44130
4413111300102230000,4413111300,1146000,44130
4413111300102450000,4413111300,870600,44130
4413111300102630000,4413111300,865000,44130
4413111300102700000,4413111300,795600,44130
4413111300102840000,4413111300,1238000,44130
4413111300103050000,4413111300,731800,44130
4413111300103470000,4413111300,952400,44130
4413111300103530000,4413111300,866600,44130
4413111300103730000,4413111300,838500,44130
4413111300104040000,4413111300,994300,44130
4413111300104280000,4413111300,822300,44130
4413111300104330000,4413111300,1062000,44130
4413111300104450000,4413111300,1509000,44130
4413111300104610000,4413111300,784700,44130
4413111300104740000,4413111300,792700,44130
4413111300104860000,4413111300,756500,44130
4413111300104930000,4413111300,866900,44130
4413111400100050000,4413111400,618200,44130
4413111400100060000,4413111400,630300,44130
4413111400100240000,4413111400,540900,44130
4413111400100280000,4413111400,940600,44130
4413111400100560000,4413111400,900200,44130
4413111400103510000,4413111400,1213000,44130
4413111400103530000,4413111400,574900,44130
4413111400103550000,4413111400,1065000,44130
4413111400103620000,4413111400,686300,44130
4413111400103640000,4413111400,731400,44130
4413111400103660000,4413111400,755600,44130
4413111400103680000,4413111400,510500,44130
4413111400103690000,4413111400,544700,44130
4413111400103700000,4413111400,1001000,44130
4413111400103700000,4413111400,637800,44130
4413111400103730000,4413111400,1228000,44130
4413111400103750000,4413111400,742700,44130
4413111400103760000,4413111400,532000,44130
4413111400103780000,4413111400,932900,44130
4413111400103790000,4413111400,601400,44130
4413111400103800000,4413111400,778600,44130
4413111400103810000,4413111400,600800,44130
4413111400103820000,4413111400,599400,44130
4413111400103840000,4413111400,483600,44130
4413111400103860000,4413111400,602000,44130
4413111400103890000,4413111400,571500,44130
4413111400103910000,4413111400,778600,44130
4413111400103920000,4413111400,600300,44130
4413111400103960000,4413111400,633700,44130
4413111400103960000,4413111400,963200,44130
4413111400103980000,4413111400,592200,44130
4413111400103990000,4413111400,592800,44130
4413111400104060000,4413111400,485200,44130
4413111400104070000,4413111400,805100,44130
4413111400104070000,4413111400,863600,44130
4413111400104080000,4413111400,546000,44130
4413111400104100000,4413111400,563500,44130
4413111400104400000,4413111400,49300,44130
4413111400104990000,4413111400,1147000,44130
4413111400105110000,4413111400,508200,44130
4413111500100470000,4413111500,391100,44130
4413111500100680000,4413111500,360500,44130
4413111500100680000,4413111500,649200,44130
4413111500100850000,4413111500,269700,44130
4413111500101410000,4413111500,506500,44130
4413111500101500000,4413111500,264800,44130
4413111500101940000,4413111500,235600,44130
4413111500102290000,4413111500,1015000,44130
4413111500102420000,4413111500,750100,44130
4413111500102450000,4413111500,817000,44130
4413111500102480000,4413111500,1074000,44130
4413111500102890000,4413111500,285200,44130
4413111500102950000,4413111500,356100,44130
4413111500103150000,4413111500,624400,44130
4413111500103240000,4413111500,563700,44130
4413111500103420000,4413111500,769100,44130
4413111500103450000,4413111500,774500,44130
4413111500103460000,4413111500,20200,44130
4413111500104620000,4413111500,412100,44130
4413111500104810000,4413111500,689300,44130
4413111500105280000,4413111500,237700,44130
4413111600100050000,4413111600,1241000,44130
4413111600100490000,4413111600,2865000,44130
4413111600100540000,4413111600,2045000,44130
4413111600100600000,4413111600,1085000,44130
4413111600100740000,4413111600,1314000,44130
4413111600100870000,4413111600,2340000,44130
4413111600101100000,4413111600,909100,44130
4413111600101270000,4413111600,402000,44130
4413111600101540000,4413111600,203800,44130
4413111600101980000,4413111600,213800,44130
4413111600102490000,4413111600,511900,44130
4413111600102650000,4413111600,355400,44130
4413111600102760000,4413111600,533300,44130
4413111600102950000,4413111600,310900,44130
4413111600103990000,4413111600,660600,44130
4413111600104260000,4413111600,333500,44130
4413111600104350000,4413111600,359300,44130
4413111600105120000,4413111600,321000,44130
4413111600105290000,4413111600,428700,44130
4413111600105680000,4413111600,504500,44130
4413111600105730000,4413111600,313400,44130
4413111600105830000,4413111600,301100,44130
4413111600105890000,4413111600,97100,44130
4413111600105920000,4413111600,342800,44130
4413111600106070000,4413111600,433600,44130
4413111600106160000,4413111600,409500,44130
4413111600106290000,4413111600,131200,44130
4413111600106500000,4413111600,322200,44130
4413111600106850000,4413111600,388000,44130
4413111600106950000,4413111600,300800,44130
4413111600107840000,4413111600,1588000,44130
4413111600107850000,4413111600,2003000,44130
4413111600107880000,4413111600,1574000,44130
4413111600108120000,4413111600,488900,44130
4413111600108140000,4413111600,581000,44130
4413111600108320000,4413111600,444000,44130
4413111600108360000,4413111600,536900,44130
4413111600108810000,4413111600,2459000,44130
4413111600110030000,4413111600,962800,44130
4413111600110290000,4413111600,1056000,44130
4413111600110310000,4413111600,812400,44130
4413111600110740000,4413111600,775300,44130
4413111600111440000,4413111600,821900,44130
4413111600111560000,4413111600,863600,44130
4413111600111610000,4413111600,862000,44130
4413111600112150000,4413111600,932500,44130
4413111600112260000,4413111600,813700,44130
4413111600112570000,4413111600,922900,44130
4413111600113050000,4413111600,865800,44130
4413111600113850000,4413111600,813700,44130
4413111600114070000,4413111600,900100,44130
4413111600114170000,4413111600,887800,44130
